To Date,AllOrgans,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,Head & Neck: Craniofacial,Head & Neck: Scalp,Head & Neck: Larynx,GU: Penile,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,Trachea,others
1988,12623,8878,1713,78,171,1676,33,74,0,0,0,0,0,0,0,0,0,0,0
1989,13140,8656,2202,82,335,1705,93,67,0,0,0,0,0,0,0,0,0,0,0
1990,15001,9416,2690,69,459,2107,203,52,5,0,0,0,0,0,0,0,0,0,0
1991,15756,9678,2953,78,452,2127,405,51,12,0,0,0,0,0,0,0,0,0,0
1992,16134,9738,3064,64,493,2170,535,48,22,0,0,0,0,0,0,0,0,0,0
1993,17631,10360,3440,112,661,2297,667,60,34,0,0,0,0,0,0,0,0,0,0
1994,18299,10646,3652,95,748,2340,724,71,23,0,0,0,0,0,0,0,0,0,0
1995,19396,11084,3934,109,919,2363,872,69,46,0,0,0,0,0,0,0,0,0,0
1996,19765,11411,4087,164,861,2343,815,39,45,0,0,0,0,0,0,0,0,0,0
1997,20316,11710,4189,210,852,2293,932,62,68,0,0,0,0,0,0,0,0,0,0
1998,21526,12455,4519,245,972,2348,869,47,70,0,0,0,1,0,0,0,0,0,1
1999,22030,12767,4757,359,941,2188,893,51,73,0,0,0,0,0,0,0,1,0,1
2000,23274,13631,5001,439,915,2199,959,48,82,0,0,0,0,0,0,0,0,0,0
2001,24243,14279,5195,473,891,2202,1059,27,113,3,0,0,0,0,0,0,1,0,4
2002,24916,14781,5332,555,906,2155,1042,33,107,5,0,0,0,0,0,0,0,0,5
2003,25475,15138,5673,504,871,2057,1085,29,116,2,0,0,0,0,0,0,0,0,2
2004,27042,16007,6171,603,881,2015,1172,40,152,1,0,0,0,0,0,0,0,0,1
2005,28119,16485,6444,542,903,2125,1406,35,178,1,0,0,0,0,0,0,0,0,1
2006,28941,17095,6651,466,924,2193,1405,31,175,0,0,0,0,0,0,0,1,0,1
2007,28366,16634,6494,468,864,2209,1468,31,198,0,0,0,0,0,0,0,0,0,0
2008,27967,16521,6319,434,837,2163,1478,27,185,0,1,0,0,0,0,0,2,0,3
2009,28463,16829,6320,375,854,2212,1661,29,179,1,1,0,0,0,0,1,1,0,4
2010,28668,16900,6291,349,828,2332,1769,42,151,0,0,0,1,0,0,3,2,0,6
2011,28553,16816,6342,287,795,2322,1822,27,129,4,3,0,0,0,0,3,3,0,13
2012,28059,16487,6256,242,801,2378,1754,29,106,1,1,0,0,0,0,2,2,0,6
2013,28956,16896,6455,256,762,2531,1923,23,109,0,1,0,0,0,0,0,0,0,1
2014,29540,17108,6730,245,709,2655,1925,24,139,0,3,0,0,0,0,1,1,0,5
2015,30974,17878,7127,228,719,2804,2057,15,141,1,1,1,0,0,0,1,1,0,5
2016,33610,19060,7841,215,798,3191,2327,18,147,0,1,0,0,1,6,3,2,0,13
2017,34770,19849,8082,213,789,3244,2449,29,109,0,1,0,0,0,4,1,0,0,6
2018,36530,21167,8250,192,835,3408,2530,32,104,1,2,0,0,1,7,1,0,0,12
2019,39719,23401,8896,143,872,3552,2714,45,81,0,1,0,0,0,12,1,1,0,15
2020,39036,22817,8906,135,827,3658,2539,58,91,0,2,0,0,0,2,1,0,0,5
2021,41356,24670,9236,143,820,3818,2524,45,96,0,0,0,0,0,2,1,0,1,4
2022,42889,25500,9528,108,810,4111,2692,51,82,2,0,0,0,0,5,0,0,0,7
2023,46629,27332,10659,102,812,4545,3026,54,95,0,1,0,0,0,3,0,0,0,4
2024,48137,27759,11458,114,733,4572,3340,64,97,0,0,0,0,0,0,0,0,0,0
2025,4046,2309,996,10,68,381,268,9,5,0,0,0,0,0,0,0,0,0,0
alltime,1019895,600148,223853,9506,28688,96989,55435,1586,3565,22,19,1,2,2,41,19,18,1,125
